institution_code,institution_name,city,state,latitude,longitude,zip_code
1215,Utah Valley Reg Med Ctr,Provo,UT,40.233788,-111.658815,84601
1216,Montana Family Medicine,Billings,MT,45.783531,-108.505384,59101
1217,U Louisville SOM,Louisville,KY,38.21929,-85.76141,40292
1218,North Mississippi Med Ctr,Tupelo,MS,34.257493,-88.703373,38804
1221,LSU SOM-Baton Rouge,Baton Rouge,LA,30.475288,-91.11605,70805
1223,Baylor Med Ctr-Garland,Garland,TX,32.912671,-96.636494,75040
1224,LSU SOM-New Orleans,New Orleans,LA,30.005453,-90.06801,70122
1225,University Hospital & Clinics,Lafayette,LA,30.216614,-92.018092,70501
1226,Carle Foundation Hosp,Urbana,IL,40.112444000000004,-88.207412,61801
1231,CMC-Northeast Med Ctr/Cabarrus,Concord,NC,36.446117,-79.066444,27574
1232,LSUHSC Shreveport,Shreveport,LA,32.51285,-93.749695,71101
1235,Valley Baptist Med Ctr,Harlingen,TX,26.190669,-97.696114,78550
1236,Maine Med Ctr,Portland,ME,43.63499,-70.2461,04106
1237,Johns Hopkins/Bayview,Baltimore,MD,39.28998,-76.549706,21224
1240,MedStar Franklin Square Med Ctr,Baltimore,MD,39.28836,-76.64237,21223
1241,Greater Baltimore Med Ctr,Baltimore,MD,39.289643,-76.612299,21202
1242,Johns Hopkins Hosp,Baltimore,MD,39.023974,-76.668506,21054
1244,U Maryland Med Ctr Midtown Campus,Baltimore,MD,39.289643,-76.612299,21202
1245,U Maryland-Mercy Med Ctr,Baltimore,MD,39.289643,-76.612299,21202
1247,St Agnes Hospital,Baltimore,MD,39.272713,-76.67481,21229
1249,Sinai Hospital of Baltimore,Baltimore,MD,39.289643,-76.612299,21202
1250,Harbor Hospital Ctr,Baltimore,MD,39.289643,-76.612299,21202
1251,MedStar Union Memorial Hosp,Baltimore,MD,39.289643,-76.612299,21202
1252,U Maryland Med Ctr,Baltimore,MD,39.289643,-76.612299,21202
1256,B I Deaconess Med Ctr,Boston,MA,42.35888,-71.056804,02109
1257,Boston Univ Med Ctr,Boston,MA,42.35888,-71.056804,02109
1258,Steward Carney Hospital,Boston,MA,42.35888,-71.056804,02109
1259,Childrens Hospital-Boston,Boston,MA,42.35888,-71.056804,02109
1260,Harvard Spaulding Rehab Hosp,Charlestown,MA,42.371163,-71.062032,02129
1261,Massachusetts Gen Hosp,Boston,MA,42.362522,-71.070694,02114
1263,Tufts Medical Center,Boston,MA,40.738186,-73.97414,10010
1265,Brigham & Womens Hosp,Boston,MA,42.368176,-71.17828,02472
1266,St Elizabeths Med Ctr,Boston,MA,42.35888,-71.056804,02109
1268,Cambridge Health Alliance,Cambridge,MA,42.365588,-71.104,02139
1269,Mt Auburn Hospital,Cambridge,MA,42.37472,-71.15027,02138
1270,Harvard Longwood Psych,Boston,MA,42.346237,-71.106804,02446
1273,Rapides Reg Med Ctr,Alexandria,LA,31.313582,-92.450533,71301
1277,Northern NM Family Med,Santa Fe,NM,35.817659,-105.908279,87506
1278,LSUHSC Lake Charles,Lake Charles,LA,30.206366,-93.205342,70601
1280,Newton-Wellesley Hosp,Newton,MA,42.3494,-71.22634,02465
1281,Berkshire Med Ctr,Pittsfield,MA,42.448847,-73.253758,01201
1283,Grtr Lawrence Fam Hlth Ctr,Lawrence,MA,42.707736,-71.161516,01840
1284,North Shore Med Ctr/Salem Hosp,Salem,MA,39.596416,-75.436,08079
1286,Baystate Med Ctr,Springfield,MA,42.121331,-72.601269,01107
1287,UIC/Mt Sinai Hosp Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1290,St Vincent Hosp-Worcester,Worcester,MA,42.263405,-71.802193,01609
1292,St Joseph Mercy-Ann Arbor,Ann Arbor,MI,42.281424,-83.748499,48104
1293,U Michigan Hosps-Ann Arbor,Ann Arbor,MI,42.281424,-83.748499,48104
1295,Detroit Med Ctr/WSU,Detroit,MI,42.355542,-83.054434,48201
1297,Eastern NM Med Ctr,Roswell,NM,33.396453,-104.522763,88201
1300,Henry Ford Hospital,Detroit,MI,42.364807,-83.08757,48208
1303,Ascension Providence/MSUCHM,Southfield,MI,42.4734,-83.2219,48075
1304,Christus Santa Rosa,San Antonio,TX,29.424534,-98.491484,78205
1307,Hurley Medical Ctr,Flint,MI,43.012555,-83.687876,48502
1308,Genesys Reg Med Ctr,Grand Blanc,MI,42.928198,-83.630861,48439
1314,Western Michigan Univ Stryker SOM,Kalamazoo,MI,42.291649,-85.584752,49007
1315,Sparrow Hospital,Lansing,MI,42.716007,-84.564552,48910
1318,Doctors Hosp of Michigan/OPMC,Pontiac,MI,42.639077,-83.291321,48342
1319,St Joseph Mercy-Oakland,Pontiac,MI,42.639077,-83.291321,48342
1320,Central Michigan University COM,Saginaw,MI,43.420475,-83.948114,48601
1323,Rush-Copley Mem Hosp,Aurora,IL,41.758194,-88.315002,60506
1328,Mayo Clinic School of Grad Med Educ,Rochester,MN,44.021592,-92.463101,55904
1329,Hennepin Co Med Ctr,Minneapolis,MN,44.976106,-93.266096,55487
1330,Abbott Northwestern,Minneapolis,MN,44.976106,-93.266096,55487
1333,Clinton Memorial Hosp,Wilmington,OH,39.465897,-83.751595,45169
1334,U Minnesota Med School,Minneapolis,MN,44.976106,-93.266096,55487
1335,HealthPartners Institute,St Paul,MN,44.948228,-93.091634,55101
1339,Schwab Rehab Hosp,Chicago,IL,41.881953,-87.632362,60602
1340,Scripps Clinic/Green Hospital,La Jolla,CA,32.84423,-117.270881,92037
1342,Allina Fam Res Prog,St Paul,MN,44.948228,-93.091634,55101
1343,Univ of Missouri-KC Programs,Kansas City,MO,39.034702,-94.53603,64130
1346,Mercy Med Ctr-Des Moines,Des Moines,IA,41.584997,-93.624273,50309
1349,Munson Medical Center,Traverse City,MI,44.762912,-85.621014,49684
1350,Pomona Valley Hosp,Pomona,CA,34.057842,-117.750166,91767
1351,Nationwide Childrens Hosp,Columbus,OH,39.945643,-83.114409,43228
1353,Barnes-Jewish Hosp,St Louis,MO,38.63492,-90.264681,63110
1361,Wayne State University SOM,Detroit,MI,42.331397,-83.046217,48226
1362,Mercy Hospital St Louis,St Louis,MO,38.627464,-90.19835,63101
1364.0999755859375,St Lukes Hospital-St Louis,Chesterfield,MO,38.653154,-90.506801,63026
1364.199951171875,St Lukes Hospital-St Louis,St Louis,MO,38.58808,-90.308754,63109
1365,St Louis Univ SOM,St Louis,MO,38.627464,-90.19835,63101
1371,U Arizona COM at South Campus,Tucson,AZ,32.221297,-110.973306,85701
1372,Creighton Univ Affil Hosps,Omaha,NE,41.256568,-95.940959,68102
1374,Detroit Med Ctr Corporation,Detroit,MI,42.355542,-83.054434,48201
1375,Scripps Mercy Hosp-Chula Vista,Chula Vista,CA,26.078304,-97.44013,78566
1376,University of Nebraska Med Ctr,Omaha,NE,41.256568,-95.940959,68102
1377,Dartmouth-Hitchcock Med Ctr,Lebanon,NH,43.642176,-72.252322,03766
1378,AtlantiCare Reg Med Ctr,Atlantic City,NJ,39.364148,-74.423028,08401
1380,CMSRU/Cooper University Hospital,Camden,NJ,39.924713,-75.04706,08002
1382,St Lukes Hospital,Maumee,OH,41.561967,-83.653403,43537
1383,Cleveland Clinic Florida,Weston,FL,26.099977,-80.399681,33327
1384,U Miami/JFK Palm Beach GME Consortium,Atlantis,FL,26.594692,-80.097495,33462
1386,Englewood Hospital,Englewood,NJ,39.86465,-84.285087,45322
1387,Hackensack U Med Ctr,Hackensack,NJ,40.904782,-74.03349,07601
1389,Sts Mary and Elizabeth Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1390,Jersey City Medical Ctr,Jersey City,NJ,40.72157,-74.047455,07302
