institution_code,institution_name,city,state,institution_name_clean,geocode_query,latitude,longitude,id,type,place_type,relevance,text,place_name,bbox,center,context,properties.mapbox_id,properties.wikidata,geometry.type,geometry.coordinates,properties.accuracy,matching_text,matching_place_name,properties.override:postcode
1046,UC Davis Med Ctr,Sacramento,CA,UC Davis Medical Center,"UC Davis Medical Center, Sacramento, CA",38.581021,-121.493933,place.287549676,Feature,,1,Sacramento,"Sacramento, California, United States",,,,dXJuOm1ieHBsYzpFU09vN0E,Q18013,Point,,NA,NA,NA,NA
1047,Arrowhead Reg Med Ctr,Colton,CA,Arrowhead Reg Medical Center,"Arrowhead Reg Medical Center, Colton, CA",34.147728,-117.28741,neighborhood.17468652,Feature,,0.532407,Arrowhead,"Arrowhead, San Bernardino, California, United States",,,,dXJuOm1ieHBsYzpBUXFNN0E,NA,Point,,NA,NA,NA,NA
1048,Scripps Mercy Hosp-San Diego,San Diego,CA,Scripps Mercy Hospital-San Diego,"Scripps Mercy Hospital-San Diego, San Diego, CA",32.713623,-117.16016,place.291711212,Feature,,0.644444,San Diego,"San Diego, California, United States",,,,dXJuOm1ieHBsYzpFV01vN0E,Q16552,Point,,NA,NA,NA,NA
1049,UC San Diego Med Ctr,San Diego,CA,UC San Diego Medical Center,"UC San Diego Medical Center, San Diego, CA",32.713623,-117.16016,place.291711212,Feature,,1,San Diego,"San Diego, California, United States",,,,dXJuOm1ieHBsYzpFV01vN0E,Q16552,Point,,NA,NA,NA,NA
1057,St Marys Medical Ctr-SF,San Francisco,CA,St Marys Medical Center-SF,"St Marys Medical Center-SF, San Francisco, CA",37.734543,-122.423935,neighborhood.617917676,Feature,,0.716239,St. Mary's Park,"St. Mary's Park, San Francisco, California, United States",,,,dXJuOm1ieHBsYzpKTlNzN0E,NA,Point,,NA,NA,"St. Mary's Park, SF, California, United States",NA
1061,CA Pacific Med Center,San Francisco,CA,CA Pacific Medical Center,"CA Pacific Medical Center, San Francisco, CA",37.722675,-122.44491,neighborhood.97185004,Feature,,0.651376,Cayuga Terrace,"Cayuga Terrace, San Francisco, California, United States",,,,dXJuOm1ieHBsYzpCY3JzN0E,NA,Point,,NA,NA,NA,NA
1062,UC San Francisco,San Francisco,CA,UC San Francisco,"UC San Francisco, San Francisco, CA",37.779238,-122.419359,place.292358380,Feature,,1,San Francisco,"San Francisco, California, United States",,,,dXJuOm1ieHBsYzpFVzBJN0E,Q62,Point,,NA,NA,NA,NA
1063,Santa Clara Valley Med Ctr,San Jose,CA,Santa Clara Valley Medical Center,"Santa Clara Valley Medical Center, San Jose, CA",37.257057,-121.931335,locality.80874220,Feature,,0.634444,Cambrian Park,"Cambrian Park, California, United States",,,,dXJuOm1ieHBsYzpCTklLN0E,Q1911837,Point,,NA,NA,NA,NA
1064,Santa Barbara Cottage Hosp,Santa Barbara,CA,Santa Barbara Cottage Hospital,"Santa Barbara Cottage Hospital, Santa Barbara, CA",34.423349,-119.70343,place.293079276,Feature,,1,Santa Barbara,"Santa Barbara, California, United States",,,,dXJuOm1ieHBsYzpFWGdJN0E,Q159288,Point,,NA,NA,NA,NA
1065,Sutter Med Ctr of Santa Rosa,Santa Rosa,CA,Sutter Medical Center of Santa Rosa,"Sutter Medical Center of Santa Rosa, Santa Rosa, CA",38.439666,-122.713437,place.293398764,Feature,,1,Santa Rosa,"Santa Rosa, California, United States",,,,dXJuOm1ieHBsYzpFWHpvN0E,Q212991,Point,,NA,NA,NA,NA
1067,Harbor-UCLA Med Ctr,Torrance,CA,Harbor-UCLA Medical Center,"Harbor-UCLA Medical Center, Torrance, CA",33.83717,-118.34134,place.329132268,Feature,,1,Torrance,"Torrance, California, United States",,,,dXJuOm1ieHBsYzpFNTRvN0E,Q489197,Point,,NA,NA,NA,NA
1068,Ventura County Med Ctr,Ventura,CA,Ventura County Medical Center,"Ventura County Medical Center, Ventura, CA",34.279537,-119.293106,neighborhood.82595052,Feature,,0.702963,Cal,"Cal, Ventura, California, United States",,,,dXJuOm1ieHBsYzpCT3hNN0E,NA,Point,,NA,NA,NA,NA
1069,Ventura County Med Ctr,Ventura,CA,Ventura County Medical Center,"Ventura County Medical Center, Ventura, CA",34.279537,-119.293106,neighborhood.82595052,Feature,,0.702963,Cal,"Cal, Ventura, California, United States",,,,dXJuOm1ieHBsYzpCT3hNN0E,NA,Point,,NA,NA,NA,NA
1070,Childrens National Med Ctr,Washington,DC,Childrens National Medical Center,"Childrens National Medical Center, Washington, DC",38.90253,-77.039386,place.345549036,Feature,,1,Washington,"Washington, District of Columbia, United States",,,,dXJuOm1ieHBsYzpGSmlvN0E,Q61,Point,,NA,NA,"Washington, DC, United States",NA
1073,Kaiser Permanente-Orange Co,Santa Ana,CA,Kaiser Permanente-Orange Co,"Kaiser Permanente-Orange Co, Santa Ana, CA",33.748873,-117.869722,place.293054700,Feature,,1,Santa Ana,"Santa Ana, California, United States",,,,dXJuOm1ieHBsYzpFWGVvN0E,Q49244,Point,,NA,NA,NA,NA
1074,Exempla St Joseph Hosp,Denver,CO,Exempla St Joseph Hospital,"Exempla St Joseph Hospital, Denver, CO",39.741681,-104.986109,place.84625644,Feature,,1,Denver,"Denver, Colorado, United States",,,,dXJuOm1ieHBsYzpCUXRJN0E,Q16554,Point,,NA,NA,NA,NA
1076,U Colorado SOM-Denver,Aurora,CO,University of Colorado SOM-Denver,"University of Colorado SOM-Denver, Aurora, CO",39.740328,-104.830668,place.14829804,Feature,,1,Aurora,"Aurora, Colorado, United States",,,,dXJuOm1ieHBsYzo0a2pz,Q49246,Point,,NA,NA,NA,NA
1077,Denver Health Med Ctr,Denver,CO,Denver Health Medical Center,"Denver Health Medical Center, Denver, CO",39.741681,-104.986109,place.84625644,Feature,,1,Denver,"Denver, Colorado, United States",,,,dXJuOm1ieHBsYzpCUXRJN0E,Q16554,Point,,NA,NA,NA,NA
1079,Bridgeport Hospital,Bridgeport,CT,Bridgeport Hospital,"Bridgeport Hospital, Bridgeport, CT",41.20549,-73.17898,neighborhood.440618220,Feature,,0.7,North Bridgeport,"North Bridgeport, Bridgeport, Connecticut, United States",,,,dXJuOm1ieHBsYzpHa05NN0E,NA,Point,,NA,NA,NA,NA
1080,St Vincents Med Ctr,Bridgeport,CT,St Vincents Medical Center,"St Vincents Medical Center, Bridgeport, CT",41.191494,-73.20385,neighborhood.71552236,Feature,,0.699916,Brooklawn,"Brooklawn, Bridgeport, Connecticut, United States",,,,dXJuOm1ieHBsYzpCRVBNN0E,NA,Point,,NA,St. Vincent,"St. Vincent, Bridgeport, Connecticut, United States",NA
1081,Danbury Hospital,Danbury,CT,Danbury Hospital,"Danbury Hospital, Danbury, CT",41.407053,-73.44359,address.2666458196872612,Feature,,0.7,Hospital Avenue,"Hospital Avenue, Danbury, Connecticut 06810, United States",,,,dXJuOm1ieGFkci1zdHI6MGRkMDgxNzEtN2M5MC00ODg2LThkN2MtNmM4ZjQ2OGQ2YmMz,NA,Point,,street,NA,NA,NA
1082,Greenwich Hospital,Greenwich,CT,Greenwich Hospital,"Greenwich Hospital, Greenwich, CT",41.026228,-73.625896,address.152005721563082,Feature,,0.7,Greenwich Avenue,"Greenwich Avenue, Greenwich, Connecticut 06830, United States",,,,dXJuOm1ieGFkci1zdHI6NWIzN2RmYjktOTE3Yy00YjA5LWFkNzAtMzg2NzdlODM1ZDAy,NA,Point,,street,NA,NA,NA
1083,Hartford Hospital,Hartford,CT,Hartford Hospital,"Hartford Hospital, Hartford, CT",41.731777,-72.791168,address.5391222424046264,Feature,,0.775,Hospital Drive,"Hospital Drive, Farmington, Connecticut 06032, United States",,,,dXJuOm1ieGFkci1zdHI6M2FmMzY5NTUtMTAwYi00YzRjLThkYzktMzExMWZmNzU3Zjgz,NA,Point,,street,NA,NA,NA
1085,St Francis Hospital,Hartford,CT,St Francis Hospital,"St Francis Hospital, Hartford, CT",41.763816,-72.675888,place.142117100,Feature,,1,Hartford,"Hartford, Connecticut, United States",,,,dXJuOm1ieHBsYzpDSGlJN0E,Q33486,Point,,NA,NA,NA,NA
1087,Middlesex Hospital,Middletown,CT,Middlesex Hospital,"Middlesex Hospital, Middletown, CT",41.560461,-72.649751,place.211732716,Feature,,1,Middletown,"Middletown, Connecticut, United States",,,,dXJuOm1ieHBsYzpESjdJN0E,Q49192,Point,,NA,NA,NA,NA
1089,Yale-New Haven Hosp,New Haven,CT,Yale-New Haven Hospital,"Yale-New Haven Hospital, New Haven, CT",41.313087,-72.9218,neighborhood.740281580,Feature,,0.753968,Yale,"Yale, New Haven, Connecticut, United States",,,,dXJuOm1ieHBsYzpMQi9NN0E,NA,Point,,NA,NA,NA,NA
1090,Hosp of St Raphael,New Haven,CT,Hospital of St Raphael,"Hospital of St Raphael, New Haven, CT",41.306065,-72.925772,place.231065836,Feature,,1,New Haven,"New Haven, Connecticut, United States",,,,dXJuOm1ieHBsYzpEY1hJN0E,Q49145,Point,,NA,NA,NA,NA
1091,Concord Hospital,Concord,NH,Concord Hospital,"Concord Hospital, Concord, NH",35.383213,-80.587668,address.5407953074338900,Feature,,0.673333,Concord Chase Circle Southwest,"Concord Chase Circle Southwest, Concord, North Carolina 28025, United States",,,,dXJuOm1ieGFkci1zdHI6YzA2YTI1YTgtMGM2Mi00ZTliLTkxNGMtNDFkMjI2MTk2MDJi,NA,Point,,street,NA,NA,NA
1093,Norwalk Hospital,Norwalk,CT,Norwalk Hospital,"Norwalk Hospital, Norwalk, CT",41.105335,-73.39879,neighborhood.184003820,Feature,,0.7,East Norwalk,"East Norwalk, Norwalk, Connecticut, United States",,,,dXJuOm1ieHBsYzpDdmVzN0E,Q5329059,Point,,NA,NA,NA,NA
1094,U Connecticut School of Medicine,Farmington,CT,University of Connecticut School of Medicine,"University of Connecticut School of Medicine, Farmington, CT",41.719942,-72.831739,place.108652780,Feature,,1,Farmington,"Farmington, Connecticut, United States",,,,dXJuOm1ieHBsYzpCbm5vN0E,Q743287,Point,,NA,NA,NA,NA
1095,Stamford Hospital/Columbia,Stamford,CT,Stamford Hospital/Columbia,"Stamford Hospital/Columbia, Stamford, CT",41.984528,-72.28983,locality.530434796,Feature,,0.646319,Stafford,"Stafford, Connecticut, United States",,,,dXJuOm1ieHBsYzpINTNLN0E,NA,Point,,NA,NA,"Stafford, Connecticut, United States",NA
1096,St Marys Hospital,Waterbury,CT,St Marys Hospital,"St Marys Hospital, Waterbury, CT",40.510883,-84.430556,address.5338485223962358,Feature,,0.715926,Waterbury Court,"Waterbury Court, St. Marys, Ohio 45885, United States",,,,dXJuOm1ieGFkci1zdHI6NjBhZThmOTctYmJmNy00ZjI5LWIxZjItYzQ2ZjE0NWM4YmNj,NA,Point,,street,NA,NA,NA
